name,movie_url,rate,rating_people,director,writer,actor,genre,place,language,year,movietime,comment,review
芭比之真假公主,https://movie.douban.com/subject/1917777/,7.9,4183,William Lau,马克·吐温,,喜剧/动画/歌舞/家庭,美国,英语,2004,148分钟,(全部500条),(全部4条)
虎与龙SP,https://movie.douban.com/subject/3118848/,9.2,5514,金子文纪/片山修/坪井敏雄,宮藤官九郎,长濑智也/冈田准一/伊东美咲/塚本高史/苍井优/西田敏行/北村一辉,剧情/喜剧,日本,日语,2005,95分钟,(全部978条),(全部2条)
青春漫画,https://movie.douban.com/subject/1757929/,6.5,4290,李翰,李翰,权相宇/金荷娜/朴智彬/李钟文/郑勇基/姜姬花/郑敏儿,喜剧/爱情,韩国,韩语,2006,116分钟,(全部623条),(全部25条)
血与骨,https://movie.douban.com/subject/2008683/,6.5,5059,Ben Ramsey,,MichaelJaiWhite/JulianSands,剧情/动作,美国,英语,2009,93分钟,(全部940条),(全部23条)
温布尔登,https://movie.douban.com/subject/1308763/,6.8,4890,理查德·隆克瑞恩,亚当·布鲁克斯,克斯汀·邓斯特/保罗·贝坦尼/詹姆斯·麦卡沃伊/山姆·尼尔/乔恩·费儒/伯纳德·希尔/伊莲诺·布罗/尼古拉·科斯特-瓦尔道/奥斯汀·尼可斯/罗伯特·林德森/约翰·麦肯罗/克里斯·艾微特/MaryCarillo/JohnBarrett,剧情/喜剧/爱情/运动,英国/法国,英语,2004,98分钟,(全部969条),(全部25条)
楼上的外星人,https://movie.douban.com/subject/3007297/,6.4,4795,John Schultz,Mark Burton,卡特·詹金斯/奥斯汀·巴特勒/阿什丽·提斯代尔,科幻/家庭/奇幻/冒险,美国/加拿大,英语,2009,86分钟,(全部824条),(全部12条)
非常舞者,https://movie.douban.com/subject/3070888/,7.2,5018,李志毅,李志毅,黑木美沙/桃井薰/平冈祐太/佐野光来/前田健/笕利夫/高雅拉,剧情,日本/新加坡/韩国,日语,2009,114分钟,(全部1196条),(全部49条)
网络杀机,https://movie.douban.com/subject/2337773/,6.7,4951,格里高利·霍布里特,Robert Fyvolent,戴安·琳恩/比利·伯克/科林·汉克斯/约瑟夫·克罗斯/玛丽·贝丝·赫特,剧情/惊悚/犯罪,美国,英语,2008,101分钟,(全部865条),(全部58条)
奇异的恩典,https://movie.douban.com/subject/1947282/,8.2,5156,迈克尔·艾普特,Steven Knight,艾恩·格拉法德/萝玛拉·嘉瑞/本尼迪克特·康伯巴奇/阿尔伯特·芬尼/迈克尔·刚本/卢夫斯·塞维尔,剧情/爱情/传记/历史,英国/美国,英语,2006,117分钟,(全部1382条),(全部47条)
野·良犬,https://movie.douban.com/subject/2064441/,7.3,4825,郭子健,郭子健,陈奕迅/林子祥/曾志伟/林苑/文俊辉/邵音音/张国强/李丽珍/楼南光,剧情,香港,粤语,2007,HongKong:90分钟,(全部745条),(全部73条)
