name,url,rate,box,director,writer,actor,genre,place,language,releasedate,movietime
七天爱上你,https://movie.douban.com/subject/3757161/,5.6,1530000,张坚庭,张坚庭,贺军翔/李小璐/吴越/刘姝含/李彧,剧情/喜剧/爱情,中国,汉语普通话,2009-11-03,
夜玫瑰,https://movie.douban.com/subject/3596506/,6.7,1450000,胡玥,胡玥,林心如/钟汉良/马天宇/倪虹洁/贾乃亮,剧情/喜剧/爱情,中国大陆,汉语普通话,2009-02-14,99分钟
欠我十万零五千,https://movie.douban.com/subject/3737290/,5.4,1300000,姬雨,述平,李乃文/刘桦/杨若兮/胡明/高军/张少华/刘利年/李梦男,剧情/喜剧,中国大陆,汉语普通话,2009-09-10(中国大陆),
末路雷霆 Dòng máu anh hùng,https://movie.douban.com/subject/2356942/,6.3,1300000,阮查理,阮查理,阮明智/吴青芸/阮承志,剧情/动作/爱情,越南,法语/越南语,2007-10-22,103分钟
堂吉诃德外传 Donkey Xote,https://movie.douban.com/subject/2024969/,5.9,1300000,Jose Pozo,塞万提斯,桑乔·格拉西亚/何塞·路易斯·希尔/安德烈·布纳福内特/SoniaFerrer/JordiGonzález/桑乔·格拉西亚/路易斯·波萨达,动画/家庭,西班牙/意大利,英语,2009-01-16(中国大陆),90分钟
精灵女孩小卓玛,https://movie.douban.com/subject/3742092/,5.5,1170000,汤继业,欧阳逸冰,,动画/奇幻,中国,汉语普通话,2009-05-27,87分钟
男生贾里新传,https://movie.douban.com/subject/3221902/,6.1,1160000,李威,鹿停,王成阳/阮经天/陈辰,,中国大陆,汉语普通话,2009-05-27(中国大陆),
我的机器人女友 僕の彼女はサイボーグ,https://movie.douban.com/subject/1978369/,7.4,1100000,郭在容,郭在容,绫濑遥/小出惠介/阿井莉沙/蛭子能收/远藤宪一/伊武雅刀/桐谷健太/小日向文世/松本莉绪/纳谷六朗/斋藤步,喜剧/动作/爱情/科幻,日本,日语,2009-07-28(中国大陆),115分钟
二十四城记,https://movie.douban.com/subject/3053521/,7.4,1100000,贾樟柯,贾樟柯,吕丽萍/陈冲/赵涛/陈建斌,剧情,中国大陆/香港/日本,汉语普通话/四川话/上海话/东北话,2009-06-03(中国大陆),112分钟
天下第一串,https://movie.douban.com/subject/3742093/,4.5,1020000,向子,赵树彬,刘伟/肖剑/何云伟/李菁/赵津生,,中国大陆,普通话,2009-06-05,
跳出去,https://movie.douban.com/subject/2124718/,5.3,1000000,冯德伦,曾谨昌,张雨绮/立威廉/姚文雪/袁祥仁/彭敬慈/冯勉恒/吴彦祖/李尚正/高宝云,剧情/喜剧,香港/中国,粤语/汉语普通话,2009-12-03,87分钟
替身演员 La doublure,https://movie.douban.com/subject/3346304/,7.1,1000000,弗朗西斯·韦贝尔,弗朗西斯·韦贝尔,加德·艾尔马莱/阿丽斯·塔格里奥妮/丹尼尔·奥特伊/克里斯汀·斯科特·托马斯/理查德·贝里/维吉妮·拉朵嫣/丹尼·伯恩,剧情/喜剧,法国/意大利/比利时,法语,2006-03-29,France:85分钟
盗版猫,https://movie.douban.com/subject/3055452/,4.3,880000,高艺鑫,高艺鑫,孙楠/景岗山/周晓欧/涂松岩/单晓帆/谢天笑/李小龙/孔令奇/彭坦/刘孜/张瑶/阿朵/武雪/马莉/李力持/高晓松/梁龙,喜剧,中国,汉语普通话/中文,2009-09-25,
袁隆平,https://movie.douban.com/subject/3737287/,6.5,560000,史凤和,谭仲池,果静林/曹艳艳,,中国大陆,普通话/国语,2009-03-19,
喊过岭的故事,https://movie.douban.com/subject/3681712/,7.1,560000,肖风,程晓玲,刘迈/曹湃/王晓,,中国大陆,普通话/国语,2009-07-01,
车票,https://movie.douban.com/subject/3290451/,6.1,420000,张之亮,朱雅欐,吴奇隆/左小青/叶童/范伟/午马/钱小豪/刘思彤,剧情,中国大陆/香港,汉语普通话,2008-10-23(香港),HongKong:104分钟
寻找微尘,https://movie.douban.com/subject/3804432/,6.3,350000,沈东,贺子壮,倪萍/唐国强/夏雨/黄渤/陈好/黄晓明,,中国大陆,普通话/国语,2009-06-16,
