name,movie_url,rate,rating_people,director,writer,actor,genre,place,language,year,movietime
护工故事,https://movie.douban.com/subject/26298805/,7.4,2743,罗布·伯内特,罗布·伯内特,保罗·路德/赛琳娜·戈麦斯/詹妮弗·艾莉/克雷格·罗伯兹/梅根·弗格森/弗雷德里克·韦勒/阿什利·怀特,剧情,美国,英语,2016,93
意大利赛车,https://movie.douban.com/subject/26728685/,7.4,1188,马特奥·罗韦尔,马特奥·罗韦尔,斯蒂芬努·阿科西/马蒂尔达·德·安杰利斯/洛伦索·吉埃利/保罗·格拉齐西/里纳特·希什马塔林/塔蒂亚娜·卢特/罗伯塔·马太/亚历克西雅·默里/克里斯蒂娜·斯皮娜,剧情/运动,意大利,意大利语,2016,118
花筐,https://movie.douban.com/subject/26846714/,7.4,852,大林宣彦,大林宣彦,洼冢俊介/满岛真之介/长塚圭史/柄本时生/矢作穗香/山崎纮菜/门胁麦/常盘贵子/武田铁矢/南原清隆/高岛政宏/入江若叶/片冈鹤太郎,剧情,日本,日语,2017,168
水中仙,https://movie.douban.com/subject/3158440/,7.3,8825,尼尔·乔丹,尼尔·乔丹,ColinFarrell/AlicjaBachleda-Curus,剧情/爱情,爱尔兰/美国,英语/罗马尼亚语,2009,111
雪崩王子,https://movie.douban.com/subject/10807171/,7.3,3214,大卫·戈登·格林,大卫·戈登·格林,保罗·路德/埃米尔·赫斯基/蓝斯·勒高勒/乔伊斯·佩恩/吉娜·格兰德/琳·谢尔顿/LarryKretschmar/EnochMoon/DavidL.OsborneJr./DanniWolcott/MorganCalderoni/SavannaPorter/JuniperSmith,剧情/喜剧,美国,英语,2013,94
聋哑部落,https://movie.douban.com/subject/19929592/,7.3,2985,米洛斯拉夫·史拉波斯维兹奇,米洛斯拉夫·史拉波斯维兹奇,GrigoriyFesenko/YanaNovikova/RosaBabiy/AlexanderDsiadevich/YaroslavBiletskiy/IvanTishko,剧情/犯罪,乌克兰/荷兰,无对白/手语,2014,130
森山中教习所,https://movie.douban.com/subject/26649889/,7.3,2289,丰岛圭介,丰岛圭介,野村周平/贺来贤人/岸井雪乃/寺十吾/佐藤真弓/裵明/黑田大辅/音尾琢真/邓肯/根岸季衣/麻生久美子/光石研,喜剧,日本,日语,2016,103
情歌,https://movie.douban.com/subject/26306606/,7.3,2007,金素英,金素英,吉娜·马隆/丽莉·克亚芙/布鲁克琳·黛克/瑞安·艾戈尔德/罗姗娜·阿奎特/艾米·西米茨/凯瑞·福永/尼尔·哈夫/马歇尔·查普曼,剧情/爱情/同性,美国,英语,2016,84
南营洞1985,https://movie.douban.com/subject/19899628/,7.3,1514,郑智泳,郑智泳,朴元尚/李璟荣/李天熙,剧情,韩国,韩语,2012,110
美好时节,https://movie.douban.com/subject/26306939/,7.3,1275,卡特琳·科西尼,卡特琳·科西尼,塞西尔·德·弗朗斯/伊兹雅·海格林/诺埃米·洛夫斯基/Jean-HenriCompère/LoulouHanssen/凯文·阿札伊斯/布鲁诺·波达里德斯,剧情/爱情,法国/比利时,法语,2015,105
使徒保罗,https://movie.douban.com/subject/27181795/,7.3,761,安德鲁·海特,特伦斯·伯登,吉姆·卡维泽/詹姆斯·福克纳/奥利维埃·马丁内斯/琼妮·威利/约翰·林奇/桥格斯·卡拉米霍斯/安东尼娅·坎贝尔-休斯/亚历桑德罗·斯佩尔杜蒂/曼努埃尔·考西/诺亚·亨特雷/杰·佩斯,剧情/历史,美国,英语,2018,108
只有大海知道,https://movie.douban.com/subject/26845720/,7.3,142,崔永徽​​,崔永徽​​,黄尚禾/钟家骏/李凤英/張靈,剧情/歌舞/家庭/儿童,台湾,汉语普通话,2018,96
