name,movie_url,rate,rating_people,director,writer,actor,genre,place,language,year,movietime
记忆碎片,https://movie.douban.com/subject/1304447/,8.6,350590,克里斯托弗·诺兰,克里斯托弗·诺兰,盖·皮尔斯/凯瑞-安·莫斯/乔·潘托里亚诺/小马克·布恩/拉什·费加/乔雅·福克斯/斯蒂芬·托布罗斯基/哈里特·桑塞姆·哈里斯/托马斯·列农/考乐姆·吉斯·雷尼/金伯利·坎贝尔/玛丽安妮·穆勒雷尔/拉里·霍尔登,剧情/悬疑/惊悚/犯罪,美国,英语,2000,113分钟
恋恋笔记本,https://movie.douban.com/subject/1309163/,8.5,359427,尼克·卡萨维茨,扬·萨尔迪,瑞恩·高斯林/瑞秋·麦克亚当斯/吉娜·罗兰兹/詹姆斯·加纳/斯塔尔勒塔·杜波利斯/凯文·康诺利/希瑟·沃奎斯特/杰弗里·奈特/琼·艾伦/詹姆斯·麦斯登,剧情/爱情,美国,英语,2004,123分钟
暮光之城,https://movie.douban.com/subject/2268359/,7.4,335484,凯瑟琳·哈德威克,梅莉莎·罗森伯格,克里斯汀·斯图尔特/罗伯特·帕丁森/比利·伯克/阿什丽·格林尼/妮基·瑞德/泰勒·洛特纳/艾迪·盖瑟吉,剧情/爱情/惊悚/奇幻,美国,英语,2008,122分钟
我的野蛮女友,https://movie.douban.com/subject/1292286/,8.1,323742,郭在容,郭在容,车太贤/全智贤/金仁文/金太贤/李武英/任豪/郭在容/韩振熙/金一宇/徐东元/宋玉淑/杨金石,剧情/喜剧/爱情,韩国,英语/韩语,2001,123分钟
猫鼠游戏,https://movie.douban.com/subject/1305487/,8.9,350966,史蒂文·斯皮尔伯格,杰夫·内桑森,莱昂纳多·迪卡普里奥/汤姆·汉克斯/克里斯托弗·沃肯/马丁·辛/艾米·亚当斯/詹妮弗·加纳/伊丽莎白·班克斯/纳塔莉·贝伊/詹姆斯·布洛林/艾伦·旁派/南希·利内翰/布莱恩·豪威/弗兰克·约翰·休斯/克里斯·埃里斯,剧情/传记/犯罪,美国/加拿大,英语/法语,2002,141分钟
不能说的秘密,https://movie.douban.com/subject/2124724/,7.7,308677,周杰伦,周杰伦,周杰伦/桂纶镁/黄秋生/苏明明/曾恺玹/詹宇豪/张杰/钟瑶/张训玮,爱情/音乐/奇幻,香港/台湾,汉语普通话/英语,2007,101分钟
变形金刚,https://movie.douban.com/subject/1794171/,8.2,304268,迈克尔·贝,罗伯托·奥奇,希亚·拉博夫/泰瑞斯·吉布森/乔什·杜哈明/安东尼·安德森/梅根·福克斯/瑞切尔·泰勒/约翰·特托罗/强·沃特/迈克尔·奥尼尔/凯文·杜恩/朱丽叶·怀特,动作/科幻,美国,英语/西班牙语,2007,144分钟
史密斯夫妇,https://movie.douban.com/subject/1309199/,7.6,310244,道格·里曼,西蒙·金伯格,布拉德·皮特/安吉丽娜·朱莉/文斯·沃恩/亚当·布罗迪/凯丽·华盛顿/凯斯·大卫/克里斯·韦兹/RachaelHuntley/米歇尔·莫纳汉/斯蒂芬妮·玛奇/詹妮弗·莫里森/TheresaBarrera/佩瑞·里维斯/MelanieTolbert/杰瑞·T·亚当斯/罗恩·博蒂塔/玛丽·斯奇塔姆/NoahDahl/ChrisDaniels/帕特里卡·达博/特雷西·迪奥里奥/格雷格·埃利斯/梅根·加拉格尔/艾米·海瑟薇/拉维尔·伊斯亚诺夫/马克·伊瓦涅/西蒙·金伯格/DerenLeRoy/肖恩·马洪/JordanOsher/LeonardRobinson/FelixA.Ruiz/SamSabbah/Michael-JohnWolfe/杰夫·雅格/MelissaHurley/JacquiLandrum/MarkBarba/安吉拉·贝塞特/威廉·菲德内尔/ShiloFrontierro/LuisJuarez/托尼·隆哥,喜剧/动作/爱情,美国,英语/西班牙语,2005,120分钟
鬼子来了,https://movie.douban.com/subject/1291858/,9.2,329891,姜文,姜文,姜文/香川照之/袁丁/姜宏波/丛志军/喜子/泽田谦也/李海滨/蔡卫东/陈述/陈莲梅/史建全/陈强/宫路佳具/吴大维/梶冈润一/石山雄大/述平/姜武,剧情/历史/战争,中国大陆,汉语普通话/日语/唐山话,2000,139分钟
非诚勿扰,https://movie.douban.com/subject/3313801/,7.1,311949,冯小刚,冯小刚,葛优/舒淇/范伟/徐若瑄/方中信/胡可/巩新亮/车晓/冯远征/罗海琼/邬逸聪/何佳怡/李琳,喜剧/爱情,中国大陆,汉语普通话/日语,2008,130分钟
