name,movie_url,rate,rating_people,director,writer,actor,genre,place,language,year,movietime,comment,review
007之你死我活,https://movie.douban.com/subject/1293438/,6.8,4712,盖伊·汉弥尔顿,汤姆·曼凯维奇,罗杰·摩尔/简·西摩/亚非特·科托/尤利乌斯•哈里斯/吉奥菲·侯德/大卫·海迪生,动作/惊悚/冒险,英国,英语/匈牙利语,1973,121分钟,(全部571条),(全部10条)
野鹅敢死队,https://movie.douban.com/subject/1304730/,8.0,5406,安德鲁·麦克拉格伦,雷金纳德·罗斯,理查德·伯顿/罗杰·摩尔/理查德·哈里斯/哈迪·克鲁格/斯图尔特·格兰杰,剧情/动作/战争/冒险,英国/瑞士,英语,1978,134分钟,(全部654条),(全部30条)
总统班底,https://movie.douban.com/subject/1293715/,7.9,5242,艾伦·J·帕库拉,威廉姆·高德曼,达斯汀·霍夫曼/罗伯特·雷德福/杰克·瓦尔登/马丁·鲍尔萨姆/哈尔·霍尔布鲁克/F·默里·亚伯拉罕/简·亚历山大/杰森·罗巴兹,剧情/惊悚/历史,美国,英语/西班牙语,1976,138分钟,(全部1353条),(全部45条)
毕加索的奇异旅程,https://movie.douban.com/subject/1308686/,8.7,4952,泰治·丹尼尔森,汉斯·艾尔佛森,约斯塔·埃克曼/汉斯·艾尔佛森/玛格丽塔·克罗克/莉娜·奥琳/伯纳德·克理宾斯/WilfridBrambell/LennartNyman/帕尔·奥斯卡森/ElisabethSöderström/BirgittaAndersson/芒努斯·黑伦斯坦/SuneMangs/YngveGamlin/LisbethZachrisson/莱娜·尼曼/TomYounger/RolvWesenlund/SvenLindberg,喜剧,瑞典,英语/芬兰语/法语/德语/意大利语/俄语/瑞典语/西班牙语/拉丁语,1978,115分钟,(全部1138条),(全部27条)
老枪,https://movie.douban.com/subject/1299903/,8.2,5139,罗贝尔·恩里科,罗贝尔·恩里科,菲利普·努瓦雷/罗密·施奈德/让·布伊兹,剧情/惊悚/战争,法国/西德,法语/德语,1975,103分钟,(全部986条),(全部33条)
指环王,https://movie.douban.com/subject/1307508/,8.7,4286,拉尔夫·巴克希,Chris Conkling,ChristopherGuard/威廉·斯夸尔/MichaelScholes/约翰·赫特/NormanBird,剧情/动画/奇幻/冒险,美国,英语/Sindarin,1978,132分钟,(全部292条),(全部6条)
少林三十六房,https://movie.douban.com/subject/1390006/,7.6,3984,刘家良,倪匡,刘家辉/罗烈/刘家荣/徐少强/张午郎/唐伟成/吴杭生/汪禹/矮冬瓜/陈会毅/陈龙/詹森/陈思佳,剧情/动作/冒险/武侠/古装,香港,汉语普通话/粤语,1978,115分钟,(全部654条),(全部15条)
笑拳怪招,https://movie.douban.com/subject/1295273/,6.6,3670,成龙,成龙,成龙/田俊/李昆/石天/任世官/程天赐/韩鹰/金世玉/万里鹏/朱少华/江志平/徐沅/陈慧楼/马场/王耀/王圻生/何兴南,喜剧/动作,香港/韩国,粤语,1979,92分钟,(全部331条),(全部3条)
日以作夜,https://movie.douban.com/subject/1293299/,8.4,5601,弗朗索瓦·特吕弗,弗朗索瓦·特吕弗,杰奎琳·比塞特/瓦伦蒂娜·格特斯/达尼/亚历山德拉·斯图尔特/让-皮埃尔·奥蒙特/让·尚皮翁/让-皮埃尔·利奥德/弗朗索瓦·特吕弗/奈珂•阿瑞吉/纳塔莉·贝伊/贝尔纳·梅内斯,剧情/喜剧/爱情,法国/意大利,法语/英语,1973,115分钟,(全部1417条),(全部21条)
简爱,https://movie.douban.com/subject/1308579/,8.1,4491,德尔伯特·曼,杰克·普尔曼,乔治·C·斯科特/苏珊娜·约克/伊安·邦纳/杰克·霍金斯/奈里·唐·波特/瑞切尔·凯姆普森/肯尼思·格里菲思/彼得·科普利/克莱夫·莫顿/范妮·罗/SusanLawe/安格哈拉德·瑞丝/卡尔·伯纳德/娜恩·芒罗/休·拉蒂默,剧情,英国/美国,英语,1970,110分钟,(全部794条),(全部43条)
鬼马双星,https://movie.douban.com/subject/1301997/,7.3,4105,许冠文,刘天赐,许冠文/许冠杰/许冠英/吕有慧/乔宏/罗兰/丁佩/许绍雄,喜剧,香港,粤语,1974,107分钟,(全部647条),(全部11条)
小花,https://movie.douban.com/subject/1309226/,7.4,3736,张铮/黄健中,前涉,陈冲/刘晓庆/唐国强/王佳宁/曹小敏/葛存壮/王彪,剧情/爱情/战争,中国大陆,汉语普通话,1979,100分钟,(全部745条),(全部16条)
悬崖上的野餐,https://movie.douban.com/subject/1299539/,7.4,4838,彼得·威尔,克利夫·格林,RachelRoberts/威文·格雷/海伦·摩斯/KirstyChild/TonyLlewellyn-Jones/杰基·韦佛/FrankGunnell/安·路易斯·兰伯特,剧情/悬疑/惊悚/恐怖,澳大利亚,英语/法语,1975,115分钟,(全部1424条),(全部33条)
山中传奇,https://movie.douban.com/subject/1306021/,8.2,5079,胡金铨,钟玲,石隽/徐枫/张艾嘉/田丰/吴明才/佟林/徐彩虹/孙越,恐怖/奇幻/武侠/古装,香港,汉语普通话,1979,112分钟,(全部1800条),(全部46条)
朦胧的欲望,https://movie.douban.com/subject/1303071/,8.3,4664,路易斯·布努埃尔,路易斯·布努埃尔,费尔南多·雷伊/卡洛尔·布盖/安赫拉·莫利纳/朱利安·贝尔托,剧情/喜剧/爱情,法国/西班牙,法语/西班牙语,1977,102分钟,(全部1327条),(全部35条)
玛丽娅·布劳恩的婚姻,https://movie.douban.com/subject/1298655/,8.3,4382,赖纳·维尔纳·法斯宾德,Pea Fröhlich,汉娜·许古拉/克劳斯·洛维奇/伊凡·德斯尼/吉塞拉·乌尔伦/高夫莱德·约翰,剧情,西德,德语/英语,1979,120分钟,(全部1058条),(全部40条)
艾曼纽,https://movie.douban.com/subject/1296869/,6.6,4082,贾斯特·杰克金,Emmanuelle Arsan,阿兰·居尼/西尔维娅·克里斯蒂/玛莉卡·格林/DanielSarky/JeanneColletin/克里斯蒂娜·布瓦松/Samantha/GabrielBriand/Gregory,剧情/情色,法国,法语,1974,105分钟,(全部885条),(全部23条)
哈洛与慕德,https://movie.douban.com/subject/1292812/,8.3,4475,哈尔·阿什贝,科林·希金斯,鲁思·戈登/巴德·库特/维维安·皮克尔斯/艾伦·戈尔/查尔斯·泰纳,剧情/喜剧,美国,英语,1971,91分钟,(全部1474条),(全部72条)
砂之器,https://movie.douban.com/subject/1299195/,8.2,4627,野村芳太郎,野村芳太郎,丹波哲郎/加藤刚/森田健作/岛田阳子/山口果林,悬疑/惊悚/犯罪,日本,日语,1974,143分钟,(全部1184条),(全部43条)
中途岛之役,https://movie.douban.com/subject/1292600/,7.5,4054,杰克 斯米特 (Jack Smight),Donald S. Sanford,CharltonHeston/GlennFord/HenryFonda/JamesCoburn/三船敏郎,剧情/动作/历史/战争,美国,英语,1976,132分钟,(全部653条),(全部21条)
