name,rate,rating_people,director,year,movietime,main_country,main_language,main_genre,second_genre,main_actor,second_actor
我不是王毛,7.9,37149,赵小溪,2014,94.0,中国大陆,汉语普通话,喜剧,战争,王大治,郭金杰
飞越老人院,7.8,41682,张杨,2012,101.0,中国大陆,汉语普通话,剧情,喜剧,许还山,吴天明
玩命直播,6.5,34722,亨利·朱斯特/阿里尔·舒曼,2016,96.0,美国,英语,动作,惊悚,艾玛·罗伯茨,戴夫·弗兰科
柯莱特,7.5,7082,沃什·韦斯特摩兰,2018,111.0,英国,英语,剧情,传记,凯拉·奈特莉,多米尼克·威斯特
辉夜姬物语,8.4,53397,高畑勋,2013,137.0,日本,日语,动画,动画,朝仓亚纪,高良健吾
密战,4.3,22064,钟少雄,2017,100.0,中国大陆,汉语普通话,剧情,动作,郭富城,赵丽颖
龙先生,6.4,1543,萨布,2017,129.0,日本,汉语普通话,剧情,剧情,张震,青柳翔
魔警,5.9,48677,林超贤,2014,112.0,香港,汉语普通话,动作,悬疑,吴彦祖,张家辉
复仇战姬,5.9,7851,科拉莉·法尔雅,2017,108.0,法国,英语,动作,惊悚,玛蒂尔达·鲁茨,凯文·让森斯
寂静岭2,5.5,49625,迈克尔·巴塞特,2012,94.0,法国,英语,悬疑,惊悚,肖恩·宾,凯瑞-安·莫斯
哆啦A梦：大雄的南极冰冰凉大冒险,6.6,19782,高桥敦史,2017,101.0,日本,日语,动画,冒险,水田山葵,大原惠美
笔仙,4.7,13131,安兵基,2012,94.0,中国大陆,汉语普通话,悬疑,恐怖,梅婷,郭京飞
希斯特斯兄弟,7.7,6348,雅克·欧迪亚,2018,121.0,法国,英语,犯罪,西部,约翰·C·赖利,杰昆·菲尼克斯
未来的未来,6.7,5213,细田守,2018,98.0,日本,日语,动画,奇幻,上白石萌歌,黑木华
快手枪手快枪手,5.1,19058,潘安子,2016,115.0,中国大陆,汉语普通话,喜剧,动作,林更新,张静初
帕特森,8.0,30039,吉姆·贾木许,2016,118.0,美国,英语,剧情,剧情,亚当·德赖弗,格什菲·法拉哈尼
玩命速递：重启之战,5.9,26885,卡米尔·狄拉玛,2015,96.0,法国,英语,动作,惊悚,艾德·斯克林,雷·史蒂文森
新步步惊心,4.1,20857,宋迪,2015,110.0,中国大陆,汉语普通话,爱情,奇幻,陈意涵,窦骁
契克,8.4,23971,法提赫·阿金,2016,93.0,德国,德语,剧情,喜剧,特里斯坦·格贝尔,阿南德·巴特比勒格·楚隆巴特尔
鸭王,4.7,21277,区焯文,2015,96.0,香港,粤语,喜剧,爱情,白健恩,何浩文
海啸奇迹,7.6,43716,胡安·安东尼奥·巴亚纳,2012,113.0,西班牙,英语,剧情,家庭,娜奥米·沃茨,伊万·麦克格雷格
苏丹,6.9,10746,阿里·阿巴斯·札法,2016,170.0,印度,印地语,剧情,运动,萨尔曼·汗,安努舒卡·莎玛
安娜贝尔,5.9,22527,约翰·R·莱昂耐迪,2014,99.0,美国,英语,悬疑,惊悚,安娜贝拉·沃丽丝,瓦德·霍尔顿
