name,rate,rating_people,director,year,movietime,comment,review,main_country,main_language,main_genre,second_genre,main_actor,second_actor
五美元过一天,7.2,2394,奈吉·柯尔,2008,97,596,13,美国,英语,剧情,喜剧,克里斯托弗·沃肯,亚历桑德罗·尼沃拉
耻,7.3,2254,史蒂夫·雅各布,2008,119,630,23,澳大利亚,英语,剧情,剧情,约翰·马尔科维奇,杰西卡·海恩斯
伴雨行,5.4,2282,陈英雄,2009,114,739,27,法国,英语,惊悚,惊悚,乔什·哈奈特,木村拓哉
我最好的朋友,7.8,2191,帕特里斯·勒孔特,2006,90,507,20,法国,法语,喜剧,喜剧,丹尼尔·奥特伊,丹尼·伯恩
美女罐头,7.4,2274,笕昌也,2003,61,469,15,日本,日语,喜剧,奇幻,藤川俊生,吉居亜希子
93号航班,7.5,2281,彼得·马克尔,2006,89,327,25,加拿大,阿拉伯语,剧情,历史,杰弗里·诺灵,BrennanElliott
蛇少女,6.2,2374,鹤田法男,2008,107,417,23,日本,日语,恐怖,恐怖,木村佳乃,谷村美月
夜巡,7.2,2059,彼得·格林纳威,2007,134,581,14,荷兰,英语,剧情,悬疑,马丁·弗瑞曼,艾米莉·霍尔姆斯
同中有异,7.1,2277,德勒夫·巴克 Detlev Buck,2009,107,753,28,德国,德语,剧情,剧情,大卫·克劳斯DavidKross,阿萍雅·萨库尔·加伦苏ApinyaSakuljaroensuk
决战豪门,6.1,2386,热罗姆·萨尔,2008,108,531,10,法国,法语,惊悚,冒险,托莫·希思黎,克里斯汀·斯科特·托马斯
匈奴大帝,7.1,2264,迪克·劳瑞,2001,177,309,13,美国,英语,动作,传记,杰拉德·巴特勒,鲍沃斯·布斯
十亿韩元,6.3,2222,赵民镐,2009,114,503,19,韩国,韩语,惊悚,冒险,朴海日,申敏儿
宠物小精灵：雪拉比的超越时空遭遇,7.7,2201,汤山邦彦/Jim Malone,2001,75,247,0,日本,日语,动作,动画,松本梨香,大谷育江
好莱坞庄园,6.5,2136,艾伦·考特勒,2006,126,402,19,美国,英语,剧情,悬疑,艾德里安·布洛迪,戴安·琳恩
奈绪子,7.0,2348,古厩智之,2008,120,474,24,日本,日语,剧情,爱情,上野树里,三浦春马
菜鸟总动员：毕业,8.3,2380,平川雄一朗,2009,137,568,13,日本,日语,剧情,动作,佐藤隆太,市原隼人
三月女郎,5.7,2355,扎克·克雷格/崔沃·摩尔,2009,89,369,11,美国,英语,喜剧,喜剧,扎克·克雷格,崔沃·摩尔
跳跃大搜查线2：封锁彩虹桥,7.7,2412,本広克行,2003,128,373,10,日本,日语,喜剧,动作,织田裕二,深津绘里
1942,7.0,2345,唐永健,2005,85,667,43,日本,日语,动作,恐怖,TetsuyaChihiro,FumikazuHara
男神与女神的罗曼史,7.0,2051,埃里克·侯麦,2007,109,630,22,法国,法语,剧情,爱情,安迪·吉雷,塞西尔·卡塞尔
好家伙,6.7,2166,玛莉安娜·帕卡,2008,86,383,46,美国,英语,剧情,喜剧,玛莉安娜·帕卡,杰森·雷特
阴阳路7：撞到正,5.5,2072,南燕,2000,93,279,3,香港,粤语,喜剧,恐怖,古天乐,雷宇扬
甜蜜十六岁,7.9,2617,肯·洛奇,2002,106,295,6,德国,英语,剧情,犯罪,马丁·康普斯顿,威廉·鲁尼
漩涡,5.6,2311,Higuchinsky,2000,90,644,11,日本,日语,恐怖,恐怖,初音映莉子,フィーファン
索拉里斯,6.5,2347,史蒂文·索德伯格,2002,99,525,24,美国,英语,爱情,科幻,乔治·克鲁尼,娜塔莎·麦克艾霍恩
太空堡垒卡拉狄加：利刃,7.6,2329,菲利克斯·因瑞奎兹·阿卡拉,2007,88,332,10,美国,英语,剧情,动作,翠西亚·希弗,爱德华·詹姆斯·奥莫斯
灯红酒绿杀人夜,4.7,2142,尼尔森·麦科米克,2008,88,344,23,美国,英语,悬疑,惊悚,布兰特妮·斯诺,斯科特·波特
静静的嘛呢石,8.1,2180,万玛才旦,2005,102,643,37,中国大陆,藏语,剧情,剧情,洛桑丹派,确赛
烟雨红颜,6.5,2032,刘德凯,2002,93,457,32,中国大陆,汉语普通话,爱情,爱情,张信哲,周迅
无名指,7.2,2015,黛安·伯特安德,2005,104,401,31,法国,法语,剧情,剧情,欧嘉·柯瑞兰寇,马克·巴贝
香颂鬼屋,5.7,2171,Monthon Arayangkoon,2007,110,317,13,泰国,泰语,恐怖,恐怖,IntiraJaroenpura,ChutchaRujinanon
少年魔法师电影版,6.0,2368,Lev L. Spiro,2009,94,397,6,美国,英语,喜剧,科幻,SelenaGomez,DavidHenrie
欲蛇,4.1,2302,詹妮弗·林奇,2010,93,730,14,印度,英语,惊悚,恐怖,IrfanKhan,MallikaSherawat
等爱的女孩,8.2,2270,查尔斯·丹斯,2004,104,703,39,英国,英语,剧情,爱情,朱迪·丹奇,玛吉·史密斯
母性光辉,6.6,2162,Katherine Dieckmann,2009,90,571,25,美国,英语,家庭,家庭,乌玛·瑟曼,明妮·德里弗
农民宇航员,7.6,2252,麦克·鲍力施,2006,104,408,40,美国,英语,剧情,冒险,比利·鲍伯·松顿,麦克斯·泰瑞奥
王牌售车员,5.8,2229,Neal Brennan,2009,89,273,6,美国,英语,喜剧,喜剧,杰里米·皮文,文·瑞姆斯
惹鬼回路,5.8,2259,Jim Sonzero,2006,90,400,14,美国,英语,科幻,恐怖,克里斯汀·贝尔,乔纳森·塔克
台北异想,7.1,2098,郑芬芬/钮承泽/许榕容/程孝泽/李启源/陈映蓉/安哲毅/李康生,2009,94,568,10,台湾,闽南语,剧情,喜剧,赖雅妍,吴中天
闪灵战士,6.5,2396,尼尔·马歇尔,2002,105,484,15,英国,英语,动作,恐怖,西恩·帕特维,凯文·麦克基德
樱桃炸弹,6.1,2171,Lisa Barros D'Sa/Glenn Leyburn,2009,86,705,13,英国,英语,剧情,惊悚,金伯莉·尼克松,鲁伯特·格林特
吸血莱恩,4.6,2046,乌维·鲍尔,2005,95,227,13,美国,英语,动作,恐怖,克里斯塔娜·洛肯,迈克尔·马德森
达达,6.3,1931,张元,2008,92,517,27,中国大陆,普通话,剧情,剧情,李昕芸,李霄峰
彻夜狂欢,6.2,2059,乔·努斯鲍姆,2004,89,256,3,美国,英语,喜剧,喜剧,阿丽夏·维加,米卡·波瑞姆
我们学校的ET,7.2,2122,朴光椿,2008,120,417,13,韩国,韩语,喜剧,喜剧,金秀路,李瀚伟
间谍女孩,6.0,1864,朴韩俊 Han-chun Park,2004,100,237,3,韩国,韩语,喜剧,动作,孔侑,金静花
柏林召唤,7.7,1932,汉尼·斯托尔,2008,105,448,15,德国,德语,剧情,喜剧,PaulKalkbrenner,科琳娜·哈弗奇
回路,6.9,2195,黑泽清,2001,118,663,13,日本,日语,惊悚,恐怖,加藤晴彦,麻生久美子
复活,7.2,1983,克里斯蒂安·福克曼,2006,105,306,31,法国,英语,动作,科幻,丹尼尔·克雷格,萝玛拉·嘉瑞
波洛克,7.5,1821,艾德·哈里斯,2000,122,331,13,美国,英语,剧情,传记,艾德·哈里斯,马西娅·盖伊·哈登
最后的兵团,5.8,2098,Doug Lefler,2007,102,371,18,法国,英语,动作,战争,科林·费尔斯,本·金斯利
我的美丽乡愁,5.8,1723,俞钟,2002,95,179,2,中国大陆,汉语普通话,剧情,剧情,徐静蕾,陈晓东
逃狱,7.4,2295,鲁伯特·瓦耶特,2008,102,513,17,英国,英语,剧情,惊悚,布莱恩·考克斯,约瑟夫·费因斯
夏娃的诱惑：她的技巧,5.7,1916,刘宰烷Yoo Jae-hwan,2007,85,262,19,韩国,朝鲜语,剧情,惊悚,KimJi-wan,徐英YoungSeo
花园里的萤火虫,6.8,2020,Dennis Lee,2008,99,483,20,美国,英语,剧情,家庭,瑞恩·雷诺兹,威廉·达福
沉默生机,6.6,2171,加里·弗莱德,2001,113,265,3,美国,英语,剧情,惊悚,迈克尔·道格拉斯,肖恩·宾
