name,url,rate,box,director,writer,actor,genre,place,language,releasedate,movietime
不怕贼惦记,https://movie.douban.com/subject/6110563/,4.3,3750000,许传海,许传海,吴刚/岳秀清/张馨予/林栋甫/应采儿/夏力薪/杨青/张会忠/赵英俊/陶为,剧情/喜剧/悬疑,中国大陆,汉语普通话,2011-12-09,90
追爱,https://movie.douban.com/subject/6890343/,6.0,4800000,刘怡明,管艺,应采儿/佟大为/董璇/熊乃瑾/勾峰/柯素云,喜剧/爱情,中国大陆/台湾,汉语普通话,2011-12-09,98
翻滚吧！阿信,https://movie.douban.com/subject/5244092/,7.2,6000000,林育贤,林育贤,彭于晏/林辰唏/陈汉典/柯宇纶/龙劭华/潘丽丽/夏靖庭,剧情/喜剧/运动,台湾,汉语普通话/闽南语Hokkien,2011-12-09,130
三傻大闹宝莱坞,https://movie.douban.com/subject/3793023/,9.2,13700000,拉吉库马尔·希拉尼,维德胡·维诺德·乔普拉,阿米尔·汗/卡琳娜·卡普尔/马达范/沙尔曼·乔希/奥米·瓦依达/博曼·伊拉尼/莫娜·辛格/拉杰夫·拉宾德拉纳特安,剧情/喜剧/爱情/歌舞,印度,印地语/乌尔都语/英语,2011-12-08,171
深海之战,https://movie.douban.com/subject/4861402/,5.2,21750000,金志勋,尹齐均,河智苑/安圣基/吴智昊/宋诗曦/车艺莲/朴哲民/朴政学/李瀚伟,动作/科幻/悬疑/惊悚,韩国,韩语,2011-12-06,100
龙门飞甲,https://movie.douban.com/subject/4896304/,6.7,540550000,徐克,徐克,李连杰/周迅/陈坤/李宇春/桂纶镁/范晓萱/樊少皇/杜奕衡/刘家辉/张馨予/盛鉴/薛剑/王双宝/韩飞行/李炳渊/庄杰/吴迪/李军如/李思博/翟钢/吕德亮/戴明/周大庆/安琪儿/高杰/钢特木尔/张秋风/张东/白斯古楞/石占杰/石凯/卫博/沙学周/肖瑞/吴飞/张兆玉/张成林/吴正林,动作/武侠/古装,中国大陆/香港,汉语普通话,2011-12-15,120
金陵十三钗,https://movie.douban.com/subject/3649049/,8.0,592300000,张艺谋,刘恒,克里斯蒂安·贝尔/倪妮/张歆怡/黄天元/韩熙庭/张逗逗/佟大为/曹可凡/渡部笃郎/黄海波/窦骁/聂远/高虎/秦昊/李玥敏/白雪/袁杨纯子/孙佳/朱良奇/小林成男/山中崇/保罗·施耐德/李纯/顾璇/周梦乔/周羽/邓莉/苏小妹/钱柳吟/叶清源/戴瑶君/沈俊然/李楚楚/金子欣/李瑞琦/谷艺璇/许佳丽/张照怡/王靖雯/谭逸敏/赵伊聪/来喜/奇道/王超北/王羽铮/李飞/王聪/项斌/郭晓明/涩谷天马/梶冈润一,剧情/历史/战争,中国大陆/香港,汉语普通话/英语/日语/南京话/上海话,2011-12-15,145
开心家族,https://movie.douban.com/subject/6019180/,8.5,2450000,金永卓,金永卓,车太贤/高昌锡/张荣男/姜艺媛/千宝根/李文秀,剧情/喜剧/家庭,韩国,韩语,2011-11-29,111
午夜凶梦,https://movie.douban.com/subject/6013868/,3.5,8700000,叶伟英,王策,钟欣潼/吴建飞/关智斌/周显欣/黄维德,悬疑/惊悚/恐怖,中国大陆,汉语普通话/粤语,2011-11-25,90
精英部队2：大敌当前,https://movie.douban.com/subject/4304402/,8.7,13350000,何塞·帕迪里亚,何塞·帕迪里亚,瓦格纳·马拉/安德烈·拉米罗/米尔黑·考塔兹/伊兰迪尔·桑托斯/玛利亚·瑞贝罗/索·豪黑,剧情/动作/惊悚/犯罪,巴西,葡萄牙语,2011-11-25,115
