name,rate,rating_people,director,writer,actor,genre,place,language,year,movietime
逃离索比堡,8.6,1383,杰克·高德,理查德·拉什克,艾伦·阿金/乔安娜·帕库拉/鲁特格尔·哈尔/HartmutBecker/杰克·谢菲尔德,剧情/惊悚/战争,英国/南斯拉夫,英语,1987,143
提防小手,6.8,1257,洪金宝,黄炳耀,洪金宝/陈勋奇/叶德娴/吴耀汉/陈百祥/田俊/彭秀霞/午马/狄威/元彪,犯罪,香港,粤语,1982,100
巴格达咖啡馆,8.2,1288,Percy Adlon,Christopher Doherty,杰克·帕兰斯/马丽安·萨格布雷特/希·庞德/克里斯汀·考夫曼,剧情/喜剧,西德/美国,英语/德语,1987,95
落水姻缘,7.8,1389,盖瑞·马歇尔,Leslie Dixon,歌蒂·韩/库尔特·拉塞尔/爱德华·赫曼/KatherineHelmond/MikeHagerty/罗迪·麦克道尔,喜剧/爱情,美国,英语/法语,1987,123
梦幻之地,7.6,1420,菲尔·奥尔登·罗宾森,菲尔·奥尔登·罗宾森,凯文·科斯特纳/埃米·马迪根/盖比·霍夫曼/雷·利奥塔/蒂莫西·布斯菲尔德/詹姆斯·厄尔·琼斯/伯特·兰卡斯特/弗兰克·威利/德威尔·布朗/JamesAndelin/MaryAnneKean/FernPersons/KellyCoffieldPark/迈克尔·米尔汉/SteveEastin,剧情/家庭/奇幻/运动,美国,英语,1989,107
铁板烧,6.6,1397,许冠文,许冠文,许冠文/叶倩文/叶丽仪/卢海鹏/车保罗/许英秀/黎小田/李燕萍/刘允/黄文慧,喜剧,香港,粤语,1984,89
应召女郎1988,7.0,1310,林德禄,刘焕君,张曼玉/冯宝宝/吴家丽/齐秦/汤镇业/陈奕诗/余倩雯,剧情,香港,粤语,1988,94
爱的激流,8.2,1308,约翰·卡萨维蒂,泰德·阿兰,约翰·卡萨维蒂/吉娜·罗兰兹/西摩·卡塞尔/戴安娜·阿伯特/JakobShaw,剧情/喜剧,美国,英语,1984,141
爱杀,7.0,1180,谭家明,陈韵文,林青霞/张国柱/秦祥林/刘天兰/叶德娴/许鞍华,剧情/爱情/悬疑/惊悚,香港,粤语/英语,1981,89
魔,6.4,1380,桂治洪,司徒安,高飞/王龙威/林晓燕/卫嘉文/徐锦江,剧情/恐怖/奇幻,香港,粤语,1983,105
夜叉,8.0,1263,降旗康男,中村努,高仓健/田中裕子/北野武/田中邦卫/小林稔侍/乙羽信子/奈良冈朋子/石田良子,剧情/爱情/犯罪,日本,日语,1985,127
双龙出海,6.7,1266,陈欣健,陈欣健,吴耀汉/叶德娴/惠英红/陈友,喜剧/动作,香港,粤语,1984,89
惊狂记,6.8,1299,罗曼·波兰斯基,罗曼·波兰斯基,哈里森·福特/艾玛纽尔·塞尼耶/贝蒂·巴克利,悬疑/惊悚/犯罪,美国/法国,英语/法语,1988,120
吹笛子的男人,8.6,1167,吉利·巴塔,Kamil Pixa,奥德里奇•凯瑟/伊里·拉布斯/MichalPavlícek/VilémCok,动画/恐怖/奇幻,捷克斯洛伐克/西德,捷克语,1986,53
闪电舞,7.7,1328,阿德里安·莱恩,乔·埃泽特哈斯,詹妮弗·比尔斯/迈克尔·诺里/莉利亚·斯卡瓦/SunnyJohnson/凯尔·T·赫夫纳,剧情/爱情/音乐,美国,英语,1983,95
波希米亚丑闻,8.9,1332,Paul Annett,阿瑟·柯南·道尔,JeremyBrett/DavidBurke/GayleHunnicutt/WolfKahler,剧情/悬疑,英国,英语,1984,50
特警屠龙,6.3,1309,袁和平,黄永辉,甄子丹/张学友/温碧霞/郑裕玲/任达华/吴孟达/StephanBerwick/迈克尔·伍兹/梁家仁,动作,香港,粤语,1988,92
一个Z和两个O,7.7,1208,彼得·格林纳威,彼得·格林纳威,安德烈亚·费雷奥尔/布赖恩·迪肯/埃里克·迪肯,剧情,英国/荷兰,英语,1985,115
无敌鸳鸯腿,6.8,1212,李文化,海鹏,王群/李光/王赤,动作,中国大陆,汉语普通话,1989,92
陌生男子,7.3,1551,戴维·黑尔,戴维·黑尔,瓦妮莎·雷德格瑞夫/伊安·霍姆/朱迪·丹奇,剧情/悬疑,英国,英语,1985,102
警察学校5：迈阿密之旅,7.0,1246,Alan Myerson,尼尔·伊斯雷尔,BubbaSmith/DavidGraf/迈克尔·温斯洛,喜剧/犯罪,美国,英语,1988,90
我为什么命该如此？,7.5,1179,佩德罗·阿莫多瓦,佩德罗·阿莫多瓦,卡门·毛拉/LuisHostalot/RyoHiruma/ÁngeldeAndrésLópez/贡萨洛·苏亚雷斯/贝罗尼卡·福尔克/JuanMartínez/丘斯·兰普雷亚维/塞西莉亚·罗特,剧情/喜剧,西班牙,德语/西班牙语/法语,1984,101
女人城,7.6,1186,费德里科·费里尼,贝纳迪诺·扎波尼,马塞洛·马斯楚安尼/安娜·普鲁克瑙/BerniceStegers/DonatellaDamiani/约莱·西尔瓦尼,剧情/喜剧,意大利/法国,意大利语,1980,139
南北妈打,6.7,1215,梁家树,吴雨,董骠/沈殿霞/张曼玉/邓碧云/张学友/何美婷,喜剧,香港,粤语,1988,91
惊魂记2,7.7,1502,理查德·富兰克林,汤姆·霍兰德,安东尼·博金斯/维拉·迈尔斯/梅格·提利,悬疑/惊悚/恐怖,美国,英语,1983,113
今夜星光灿烂,6.7,1272,许鞍华,梁淑华,林子祥/林青霞/吴大维/潘迪华/童玲/吴宇森/尔冬升/徐杰,剧情/爱情,香港,粤语,1988,94
