name,rate,rating_people,director,year,movietime,main_country,main_language,main_genre,second_genre,main_actor,second_actor
我的双脚献给爸爸,7.6,1516,吉野洋,2008,100,日本,日语,剧情,剧情,松本润,香里奈
救姜刑警,7.3,1596,阮世生,2000,100,香港,粤语,喜剧,犯罪,吴镇宇,狄龙
白色物质,6.7,1486,克莱尔·德尼,2009,106,法国,法语,剧情,剧情,伊莎贝尔·于佩尔,伊萨赫·德·班克尔
冈拉梅朵,6.4,1405,戴玮,2008,93,中国大陆,汉语普通话,剧情,爱情,姜世贞,仁青顿珠
布加勒斯特东12点8分,8.0,1539,柯内流·波蓝波宇,2006,89,罗马尼亚,罗马尼亚语,剧情,喜剧,MirceaAndreescu,特奥多·科尔班
了不起的盖茨比,7.3,1432,Robert Markowitz,2000,90,英国,英语,剧情,爱情,米拉·索维诺,托比·斯蒂芬斯
走过冬季,7.6,1490,亚当·拉普,2005,98,美国,英语,剧情,喜剧,佐伊·丹斯切尔,达雷尔·拉森
遥望南方的童年,9.2,1740,易寒,2007,91,中国大陆,汉语普通话,剧情,剧情,易志兵,何伟欣
星星,7.8,1560,尼古拉·列别捷夫,2002,97,俄罗斯,俄语,剧情,动作,伊戈尔·别特连科,阿尔焦姆·谢马金
游戏王剧场版：光之金字塔,7.6,1622,辻初樹,2004,90,日本,英语,动作,动画,風間俊介,津田健次郎
人类之城,7.3,1468,Paulo Morelli,2007,106,巴西,葡萄牙语,剧情,犯罪,DouglasSilva,DarlanCunha
超感觉情侣,6.3,1478,金亨周,2008,85,韩国,韩语,爱情,爱情,秦久,朴宝英
兄弟情,7.5,1573,尼科洛·多纳托,2009,97,丹麦,丹麦语,剧情,同性,托尔·林德哈特,SigneEgholmOlsen
斗牛士,6.8,1479,理查德·谢帕德,2005,96,美国,英语,剧情,喜剧,皮尔斯·布鲁斯南,格雷戈·金尼尔
神鬼传奇之法老王的咒语,5.5,1432,Russell Mulcahy,2006,170,美国,英语,动作,悬疑,CasperVanDien,LeonorVarela
扭转乾坤,7.5,1488,乔·德特杜巴,2000,104,美国,英语,喜剧,儿童,布鲁斯·威利斯,史宾塞·布瑞斯林
A片猛男日记,6.1,1371,理查德·格雷泽,2001,95,美国,英语,剧情,喜剧,ScottGurney,MichaelCunio
易布拉辛先生和古兰经的花,8.1,1385,François Dupeyron,2003,94,法国,法语,剧情,剧情,OmarSharif,伊莎贝尔·阿佳妮
破坏欲,6.0,1497,Sean Ellis,2008,93,法国,英语,剧情,惊悚,琳娜·海蒂,理查德·詹金斯
重奏,7.8,1354,约阿希姆·提尔,2006,105,挪威,挪威语,剧情,剧情,安德斯·丹尼尔森·李,EspenKlouman-Høiner
猫样少女,7.3,1365,郑在恩,2001,112,韩国,韩语,剧情,剧情,裴斗娜,李枖原
葬礼之后,8.3,1541,Maurice Phillips,2005,93,英国,英语,剧情,悬疑,大卫·苏切,迈克尔·法斯宾德
非常时期,6.7,1533,David Ayer,2005,116,美国,英语,剧情,惊悚,克里斯蒂安·贝尔,弗莱迪·罗德里格兹
爱斗大,5.4,1383,七条,2008,105,香港,粤语,喜剧,喜剧,文咏珊,江若琳
美丽坏姐妹,6.8,1437,马科斯·西恩加,2005,104,美国,英语,剧情,喜剧,埃文·蕾切尔·伍德,大卫·瓦格纳
胶片之恋,6.6,1319,操上和美,2009,87,日本,日语,惊悚,惊悚,永濑正敏,役所广司
未来之我制作法,6.9,1406,市川准,2007,97,日本,日语,剧情,剧情,成海璃子,前田敦子
红孩儿大话火焰山,6.6,1283,王童,2005,95,台湾,汉语普通话,剧情,喜剧,阿雅,蔡升晏
回归,6.9,1484,李圭满,2007,113,韩国,韩语,悬疑,惊悚,金明敏,金太祐
三十八度,6.3,1278,刘新,2003,100,中国大陆,汉语普通话,喜剧,爱情,黄磊,陶红
